(0.17262616941604025, 'odor')
(0.12094865522171191, 'gill-color')
(0.10129703550068235, 'gill-size')
(0.09966498061473225, 'spore-print-color')
(0.07724797091473416, 'ring-type')
(0.07439978362002042, 'stalk-root')
(0.06360119755245537, 'population')
(0.05142502782817238, 'stalk-surface-above-ring')
(0.0490424909617987, 'bruises')
(0.03479724252237266, 'gill-spacing')
(0.03351904049376107, 'habitat')
(0.024561099651510904, 'stalk-shape')
(0.01803926496406207, 'cap-color')
(0.017505663112889095, 'stalk-color-above-ring')
(0.014950702679929219, 'ring-number')
(0.014674421999981084, 'stalk-color-below-ring')
(0.01145787558134978, 'stalk-color-below-ring')
(0.008081817389371618, 'cap-surface')
(0.005344090970304228, 'cap-shape')
(0.005249054993960873, 'veil-color')
(0.0015664140101596595, 'gill-attachment')
(0.0, 'veil-type')
